oid,id,Material,Fecha_instalacion,Diametro_pulgadas,Longitud_millas,Tiempo_vida,others
27,segmento 27,Plomo,1561599013,12.0,6.810428541,66.91739739,
28,segmento 28,Hierro fundido,818834346,1.5,4.77715086,68.52898803,
29,segmento 29,Cobre,1004924462,4.0,6.746163183,73.22494401,
30,segmento 30,Hierro fundido,121482904,0.5,9.93519073,55.91804731,
31,segmento 31,Alta densidad plomo,1206612146,4.0,8.924263453,61.99029598,
32,segmento 32,Cloruro de polivinilo,427947865,0.75,7.942922098,20.79013425,
33,segmento 33,Cloruro de polivinilo,777633963,125.0,0.522840043,14.72421904,
34,segmento 34,Hierro fundido,1471865701,0.25,8.850966691,77.15019318,
35,segmento 35,Plomo,337729153,10.0,0.507010731,36.7989774,
36,segmento 36,Polietileno,90156134,5.0,5.45656657,27.78251519,
37,segmento 37,Alta densidad plomo,1584616669,0.75,0.268258943,51.4466197,
38,segmento 38,Cloruro de polivinilo,1084341460,8.0,5.037096634,42.42301278,
39,segmento 39,Polietileno,423024530,2.5,4.069844389,28.7517028,
40,segmento 40,Plomo,145108516,0.25,9.691673088,25.03500754,
41,segmento 41,Polietileno,333485655,10.0,9.668506487,40.26070942,
42,segmento 42,Hierro fundido,652354748,8.0,2.482370688,71.90023503,
43,segmento 43,Cobre,671054028,12.0,9.97914164,76.60223887,
44,segmento 44,Cobre,624093774,1.5,0.80901171,55.22609854,
45,segmento 45,Alta densidad plomo,860933174,0.5,8.48485309,45.19100255,
46,segmento 46,Hierro ductil,1419055747,0.5,8.523955156,66.92037519,
47,segmento 47,Cobre,1608911200,12.0,3.095135793,86.89157255,
48,segmento 48,Cobre,631966492,8.0,3.553587353,66.8931402,
49,segmento 49,Plomo,634236836,1.5,1.964016316,33.72211121,
50,segmento 50,Hierro fundido,1116212004,4.0,0.893272019,75.07328392,
51,segmento 51,Polietileno,1446395108,1.5,2.695654048,43.67870445,
52,segmento 52,Alta densidad plomo,1408447126,3.0,4.855419149,60.34116814,
53,segmento 53,Hierro ductil,1024922458,5.0,6.040399095,68.41543635,
54,segmento 54,Polietileno,1020373124,4.0,9.82698883,48.0494903,
55,segmento 55,Polietileno,389667859,125.0,2.683712171,15.48829364,
56,segmento 56,Cobre,792503323,1.25,2.666065602,58.9481867,
57,segmento 57,Cobre,1117902103,3.0,8.288455999,75.60995414,
58,segmento 58,Hierro fundido,773956175,2.5,7.057841055,72.50761259,
59,segmento 59,Cloruro de polivinilo,1244419469,2.0,5.747056973,38.58324194,
60,segmento 60,Polietileno,818864710,5.0,1.395163386,37.07768303,
61,segmento 61,Cloruro de polivinilo,796983661,4.0,2.336864534,30.66231886,
62,segmento 62,Cobre,228757158,1.25,7.603272383,53.5705681,
63,segmento 63,Cloruro de polivinilo,468958935,1.5,2.641987637,19.93965972,
64,segmento 64,Cloruro de polivinilo,1553720182,8.0,2.265994857,48.25363349,
65,segmento 65,Alta densidad plomo,136511875,0.75,7.584359371,32.2126409,
66,segmento 66,Plomo,1293213248,1.0,7.538336624,48.96827967,
67,segmento 67,Hierro Galvanizado/Polietileno de alta densidad,1358831080,2.0,7.526662817,65.34146917,
68,segmento 68,Hierro fundido,522568925,1.5,4.176009049,62.47481717,
69,segmento 69,Hierro fundido,570398828,1.25,0.667199235,58.55993651,
70,segmento 70,Alta densidad plomo,1440251699,0.25,1.766951532,46.55624354,
71,segmento 71,Hierro ductil,464139165,1.25,1.66466594,46.18528129,
72,segmento 72,Cobre,790296705,1.5,4.047236702,61.55273948,
73,segmento 73,Plomo,795590738,2.0,2.482129008,38.46201265,
74,segmento 74,Hierro ductil,529273057,6.0,0.136721477,54.5894154,
75,segmento 75,Hierro ductil,408050940,1.0,5.566341256,47.84516328,
76,segmento 76,Hierro ductil,675792457,8.0,3.672432542,62.10465783,
77,segmento 77,Hierro fundido,884761227,8.0,8.384387338,82.13475301,
78,segmento 78,Polietileno,90332228,6.0,0.589427349,24.1194505,
79,segmento 79,Hierro ductil,1077093086,12.0,6.757560172,75.0990191,
80,segmento 80,Hierro ductil,173866012,6.0,6.301158757,54.28182067,
81,segmento 81,Cloruro de polivinilo,659491968,12.0,6.453220555,38.54241509,
82,segmento 82,Hierro ductil,1120843985,0.75,5.133649849,59.26308322,
83,segmento 83,Plomo,397925569,375.0,1.729410965,22.89046001,
84,segmento 84,Plomo,152919538,1.0,5.537444235,25.98242551,
85,segmento 85,Alta densidad plomo,637472893,8.0,6.280970877,52.60645327,
86,segmento 86,Alta densidad plomo,1193719880,6.0,2.350610895,57.61321347,
87,segmento 87,Cobre,515105125,125.0,0.829506215,44.49300065,
88,segmento 88,Hierro fundido,559508040,125.0,2.481408406,52.69223958,
89,segmento 89,Plomo,1368356107,375.0,8.33605712,47.40558913,
90,segmento 90,Plomo,126077044,375.0,3.377037069,19.55668619,
91,segmento 91,Alta densidad plomo,1047753583,0.75,4.419901683,45.76975811,
92,segmento 92,Cloruro de polivinilo,140512434,8.0,3.149130582,23.16330655,
93,segmento 93,Polietileno,1129298180,375.0,2.046236634,30.94277487,
94,segmento 94,Hierro Galvanizado/Polietileno de alta densidad,627074818,1.25,9.862356142,51.74712714,
95,segmento 95,Hierro Galvanizado/Polietileno de alta densidad,568826255,0.5,7.571086513,44.61179051,
96,segmento 96,Cobre,1538306827,12.0,6.768048766,89.30349635,
97,segmento 97,Cloruro de polivinilo,580346852,8.0,1.323564614,29.40583019,
98,segmento 98,Cobre,988070356,4.0,8.393400595,74.57895079,
99,segmento 99,Cloruro de polivinilo,776862825,0.25,1.684144492,17.13307616,
100,segmento 100,Hierro fundido,815672185,4.0,3.114289362,71.79119236,
101,segmento 101,Cloruro de polivinilo,1622144687,0.75,9.789632371,44.61127892,
102,segmento 102,Cobre,253814145,1.0,5.772178282,50.93166072,
103,segmento 103,Alta densidad plomo,681765918,12.0,8.709948858,58.37431116,
104,segmento 104,Alta densidad plomo,1518234236,4.0,1.057430646,59.77329555,
105,segmento 105,Cloruro de polivinilo,620496306,12.0,5.531511667,36.89444535,
106,segmento 106,Hierro ductil,852162970,1.0,9.532733624,60.01679548,
107,segmento 107,Hierro Galvanizado/Polietileno de alta densidad,444635290,0.25,8.847793907,41.11809394,
108,segmento 108,Hierro fundido,762768762,3.0,4.555361078,71.02417003,
109,segmento 109,Plomo,1282828526,0.75,6.22314503,46.19887609,
110,segmento 110,Alta densidad plomo,1518308957,375.0,1.216174226,48.68501638,
111,segmento 111,Plomo,1413682049,4.0,2.394605017,53.48745772,
112,segmento 112,Hierro Galvanizado/Polietileno de alta densidad,712864364,12.0,7.967672088,63.91057958,
113,segmento 113,Polietileno,162451260,0.75,5.228090964,18.88090622,
114,segmento 114,Plomo,1176306621,0.5,7.166107894,43.9429165,
115,segmento 115,Polietileno,1310065013,8.0,7.101156537,54.37222426,
116,segmento 116,Plomo,980427676,0.75,2.702634696,37.08304586,
117,segmento 117,Cobre,1265310389,1.25,3.238487397,68.21913539,
118,segmento 118,Hierro Galvanizado/Polietileno de alta densidad,828233704,3.0,9.236753527,59.81359096,
119,segmento 119,Polietileno,1000153018,10.0,1.110063802,43.87276087,
120,segmento 120,Polietileno,249967003,8.0,0.737336637,28.45380229,
121,segmento 121,Polietileno,81195226,0.5,3.686416669,14.57973515,
122,segmento 122,Hierro ductil,176317014,2.5,9.466417881,52.52411475,
123,segmento 123,Cobre,437438368,6.0,4.570778304,63.09412932,
124,segmento 124,Polietileno,6777811,4.0,6.891606093,26.44910662,
125,segmento 125,Hierro fundido,1145812942,4.0,0.570947847,75.29192888,
126,segmento 126,Alta densidad plomo,1479957060,4.0,0.813747462,58.82340991,
127,segmento 127,Hierro fundido,1565373333,2.5,3.15706697,83.11795411,
128,segmento 128,Alta densidad plomo,985905206,6.0,2.720257599,54.16583903,
129,segmento 129,Polietileno,261589010,125.0,9.990261505,20.51386623,
130,segmento 130,Plomo,1484295832,2.5,2.471103302,52.36299104,
131,segmento 131,Cloruro de polivinilo,1456624421,8.0,6.629221371,50.87578904,
132,segmento 132,Plomo,612618571,6.0,2.343729836,41.20819985,
133,segmento 133,Polietileno,670884996,375.0,7.476853818,28.00013914,
134,segmento 134,Hierro ductil,790911970,5.0,0.875670328,58.89616325,
135,segmento 135,Hierro fundido,709910776,1.25,5.745319281,66.25433303,
136,segmento 136,Hierro Galvanizado/Polietileno de alta densidad,562646191,1.5,5.036617986,46.93809837,
137,segmento 137,Cobre,29392214,6.0,8.328470665,59.38768829,
138,segmento 138,Hierro ductil,1579511732,12.0,6.478096735,84.05389826,
139,segmento 139,Hierro fundido,1407734498,0.25,2.317635437,69.37179116,
140,segmento 140,Hierro Galvanizado/Polietileno de alta densidad,794201993,125.0,7.613486225,45.04824056,
141,segmento 141,Alta densidad plomo,1199331959,5.0,5.189579126,59.33403845,
142,segmento 142,Plomo,1150781436,3.0,7.505799716,52.56674893,
143,segmento 143,Polietileno,191549710,0.75,1.184149891,15.33110377,
144,segmento 144,Hierro fundido,1581117653,3.0,9.180955599,90.74215566,
145,segmento 145,Hierro ductil,1003794417,5.0,5.255852233,67.23451739,
146,segmento 146,Hierro fundido,683083696,0.5,2.194149628,58.42406651,
147,segmento 147,Alta densidad plomo,127737521,10.0,8.437875068,46.663458,
148,segmento 148,Cloruro de polivinilo,1212354688,3.0,7.373019739,42.1361049,
149,segmento 149,Hierro fundido,1563325972,0.75,5.588295618,79.28609908,
150,segmento 150,Alta densidad plomo,155174091,0.5,8.812999362,32.54680361,
151,segmento 151,Cloruro de polivinilo,1041157843,0.5,3.30292917,26.12738061,
152,segmento 152,Hierro Galvanizado/Polietileno de alta densidad,1231564333,5.0,0.236423685,60.63774179,
153,segmento 153,Polietileno,1339662758,5.0,6.762942363,52.07476004,
154,segmento 154,Cobre,962177921,375.0,3.916086169,58.3303683,
155,segmento 155,Cloruro de polivinilo,431583023,5.0,9.678642949,32.61022145,
156,segmento 156,Alta densidad plomo,917798674,12.0,5.055658687,59.02266452,
157,segmento 157,Hierro ductil,25484735,2.0,3.078504818,42.04856623,
158,segmento 158,Hierro ductil,970501187,375.0,9.911629396,58.8252134,
159,segmento 159,Polietileno,1108311312,375.0,8.201415704,36.77427561,
160,segmento 160,Plomo,1105628284,1.0,7.97512642,45.96065775,
161,segmento 161,Cloruro de polivinilo,1537031722,3.0,2.258940811,42.93968424,
162,segmento 162,Polietileno,556955666,6.0,6.400265243,38.56804015,
163,segmento 163,Cobre,82301810,5.0,6.0517441,56.81072834,
164,segmento 164,Hierro fundido,490558897,1.0,9.080045675,64.3398725,
165,segmento 165,Cobre,1600130485,0.75,5.445499214,74.10424011,
166,segmento 166,Plomo,160178560,1.25,8.988632865,30.85193462,
167,segmento 167,Hierro Galvanizado/Polietileno de alta densidad,1129975097,10.0,0.579135329,62.86615688,
168,segmento 168,Plomo,510816395,8.0,3.085114697,41.33540019,
169,segmento 169,Hierro ductil,1055320345,1.0,6.45870471,60.64684445,
170,segmento 170,Alta densidad plomo,1099737980,0.75,7.254806141,49.58905165,
171,segmento 171,Hierro ductil,866493686,2.0,6.778370168,61.24808605,
172,segmento 172,Hierro fundido,133900604,0.5,3.824017932,49.97344983,
173,segmento 173,Cloruro de polivinilo,1002268303,125.0,8.345937723,26.75632907,
174,segmento 174,Cloruro de polivinilo,1472343207,1.5,6.468284576,42.25222271,
175,segmento 175,Cloruro de polivinilo,1391307524,12.0,9.255701796,54.8279226,
176,segmento 176,Cobre,511363705,4.0,8.31404674,65.73435511,
177,segmento 177,Cobre,1134356330,1.25,7.1365854,69.74896596,
178,segmento 178,Polietileno,202870587,1.5,3.908841207,22.04145601,
179,segmento 179,Polietileno,398859635,3.0,3.264768933,28.74421412,
180,segmento 180,Hierro fundido,1173956457,10.0,7.280962886,87.58715151,
181,segmento 181,Hierro Galvanizado/Polietileno de alta densidad,344779738,12.0,0.198730725,49.29578267,
182,segmento 182,Polietileno,676725520,0.5,0.549810118,22.36050564,
183,segmento 183,Alta densidad plomo,1255579994,10.0,4.487344186,63.4088526,
184,segmento 184,Hierro ductil,79011211,2.5,3.676541244,44.88674886,
185,segmento 185,Hierro ductil,558263174,6.0,6.303659146,61.35164014,
186,segmento 186,Cloruro de polivinilo,1620245732,0.5,4.047507547,37.52623979,
187,segmento 187,Cloruro de polivinilo,1351036029,0.5,4.417776452,32.95072195,
188,segmento 188,Cloruro de polivinilo,112140596,0.5,8.255044122,14.0491675,
189,segmento 189,Polietileno,1609923667,2.5,9.592808415,56.15206427,
190,segmento 190,Polietileno,68958910,12.0,9.291937541,36.26690794,
191,segmento 191,Cloruro de polivinilo,476509658,1.0,7.035677132,22.01655295,
192,segmento 192,Cobre,691159518,1.5,1.918315018,57.57963714,
193,segmento 193,Cobre,1462433433,125.0,3.777372839,64.88764922,
194,segmento 194,Polietileno,439018616,2.5,9.578929131,34.61049245,
195,segmento 195,Polietileno,1043781153,0.5,8.664993323,37.30612333,
196,segmento 196,Cobre,1310495364,0.25,8.679257111,68.295606,
197,segmento 197,Polietileno,3920480,12.0,3.497452993,29.218136,
198,segmento 198,Cloruro de polivinilo,910455786,2.0,0.428702455,27.0711123,
199,segmento 199,Cloruro de polivinilo,1439793349,5.0,3.708863947,45.11648714,
200,segmento 200,Hierro Galvanizado/Polietileno de alta densidad,808810549,2.0,0.174596521,47.80279462,
201,segmento 201,Hierro ductil,311033284,3.0,2.966701377,49.68555644,
202,segmento 202,Alta densidad plomo,876374951,2.0,2.07095914,45.24622496,
203,segmento 203,Polietileno,372132538,0.25,9.762080213,23.56576656,
204,segmento 204,Cloruro de polivinilo,331406099,2.0,8.302255919,24.37813916,
205,segmento 205,Hierro Galvanizado/Polietileno de alta densidad,773782151,1.5,9.808275996,55.63977306,
206,segmento 206,Cloruro de polivinilo,1610515461,125.0,1.497385759,31.02146432,
207,segmento 207,Polietileno,1373924676,375.0,9.619233059,43.08982107,
208,segmento 208,Cobre,561298942,4.0,6.64076501,64.96225062,
209,segmento 209,Cobre,1137664672,125.0,1.627381507,56.74493872,
210,segmento 210,Alta densidad plomo,780605584,125.0,8.311593399,39.78913825,
211,segmento 211,Hierro ductil,1315764187,12.0,5.867859171,78.58839378,
212,segmento 212,Hierro ductil,1343318925,3.0,5.57771306,71.30192165,
213,segmento 213,Hierro Galvanizado/Polietileno de alta densidad,431248841,1.5,3.188841385,42.65586512,
214,segmento 214,Hierro fundido,1299600153,0.75,1.45891963,70.26630877,
215,segmento 215,Alta densidad plomo,172340710,10.0,9.893094542,48.95342393,
216,segmento 216,Plomo,1554897321,0.5,1.075151474,44.75097498,
217,segmento 217,Plomo,355944121,10.0,1.447185838,38.08353862,
218,segmento 218,Cobre,940050691,1.5,5.546945413,65.82088301,
219,segmento 219,Cloruro de polivinilo,19756761,0.75,7.133533766,12.46781542,
220,segmento 220,Cloruro de polivinilo,83892890,0.25,8.101347809,10.87457345,
221,segmento 221,Alta densidad plomo,1087095934,2.0,3.750326502,50.81674421,
222,segmento 222,Plomo,656247486,125.0,6.432070344,29.88997159,
223,segmento 223,Plomo,1075203516,2.0,6.976874658,48.14295124,
224,segmento 224,Cloruro de polivinilo,12327699,0.5,8.393466468,12.35388848,
225,segmento 225,Hierro Galvanizado/Polietileno de alta densidad,1110027541,5.0,7.460467392,65.70025366,
226,segmento 226,Cloruro de polivinilo,141274278,1.5,0.98471188,12.24103183,
227,segmento 227,Plomo,308886542,1.0,8.127298367,31.46595483,
228,segmento 228,Hierro fundido,327657301,0.5,5.922333108,55.65525359,
229,segmento 229,Plomo,971375416,1.5,8.922082679,46.94888717,
230,segmento 230,Cobre,155260690,3.0,4.758968359,54.34627211,
231,segmento 231,Plomo,985102185,1.25,7.142772328,44.15397605,
232,segmento 232,Cobre,616225572,1.5,6.6086592,60.93966831,
233,segmento 233,Hierro Galvanizado/Polietileno de alta densidad,1281778691,3.0,4.869797308,63.74112799,
234,segmento 234,Alta densidad plomo,492696068,0.5,7.164160451,37.08678478,
235,segmento 235,Cloruro de polivinilo,1624704632,6.0,0.940115495,46.96943859,
236,segmento 236,Plomo,699058926,4.0,2.02244898,39.97291385,
237,segmento 237,Polietileno,554501977,375.0,0.634667658,18.94909215,
238,segmento 238,Polietileno,1018364511,2.5,1.629582354,37.23235259,
239,segmento 239,Polietileno,136324726,12.0,7.769168629,35.96730468,
240,segmento 240,Hierro Galvanizado/Polietileno de alta densidad,630959802,125.0,3.542690578,37.93505354,
241,segmento 241,Hierro ductil,887127922,125.0,0.837388256,45.62646282,
242,segmento 242,Plomo,1367362285,10.0,1.801999915,57.03725953,
243,segmento 243,Alta densidad plomo,77729198,4.0,9.488083168,41.80485147,
244,segmento 244,Polietileno,362372193,125.0,4.106314865,16.42342445,
245,segmento 245,Hierro ductil,1245149688,1.25,6.852795788,65.78500378,
246,segmento 246,Hierro Galvanizado/Polietileno de alta densidad,788786697,2.0,4.591534034,51.89620123,
247,segmento 247,Plomo,659525854,0.25,1.52049608,26.23905956,
248,segmento 248,Hierro ductil,1299408350,0.5,7.763434673,63.95240799,
249,segmento 249,Cobre,834039537,1.0,5.079608744,60.89976879,
250,segmento 250,Cobre,805162733,10.0,5.582638869,73.37696855,
251,segmento 251,Hierro Galvanizado/Polietileno de alta densidad,1496145491,3.0,1.358273925,64.13535306,
252,segmento 252,Cobre,592033081,6.0,9.228424245,70.64110712,
253,segmento 253,Plomo,1596059393,375.0,1.682221954,44.87095845,
254,segmento 254,Hierro Galvanizado/Polietileno de alta densidad,807101555,2.0,2.783906371,50.40704062,
255,segmento 255,Cloruro de polivinilo,838043987,2.5,7.892730845,34.52921536,
256,segmento 256,Cloruro de polivinilo,372307440,8.0,5.678354171,29.97972068,
257,segmento 257,Plomo,1361658650,2.0,0.756954425,47.12679444,
258,segmento 258,Cobre,1192421070,4.0,8.65521318,78.60047663,
259,segmento 259,Polietileno,724294013,8.0,7.596940701,44.10338491,
260,segmento 260,Hierro Galvanizado/Polietileno de alta densidad,414319589,8.0,9.72308171,57.69485688,
261,segmento 261,Cloruro de polivinilo,229038592,1.5,4.288598805,17.19187296,
262,segmento 262,Plomo,1624612890,1.5,5.124285037,55.12275718,
263,segmento 263,Alta densidad plomo,1027098315,1.0,0.301285478,42.47978445,
264,segmento 264,Cobre,1462186763,8.0,2.832526036,81.42872339,
265,segmento 265,Polietileno,1572731748,2.0,2.561095388,47.11553571,
266,segmento 266,Hierro Galvanizado/Polietileno de alta densidad,283698357,375.0,2.129006751,32.62255109,
267,segmento 267,Alta densidad plomo,1186194890,3.0,2.747344911,54.12560499,
268,segmento 268,Hierro ductil,369529519,0.25,7.066012217,43.65175087,
269,segmento 269,Cobre,997202535,5.0,0.156585188,67.67683394,
270,segmento 270,Alta densidad plomo,262408934,10.0,9.098079103,49.80631794,
271,segmento 271,Plomo,412155125,5.0,9.264020708,43.26279295,
272,segmento 272,Hierro Galvanizado/Polietileno de alta densidad,196274133,4.0,8.513830303,48.71453889,
273,segmento 273,Plomo,743358316,5.0,1.011223043,41.0159353,
274,segmento 274,Hierro Galvanizado/Polietileno de alta densidad,1268664088,2.0,7.653364888,63.81169526,
275,segmento 275,Alta densidad plomo,203849157,2.0,2.767502143,33.58515111,
276,segmento 276,Cloruro de polivinilo,313973765,1.0,2.273037094,14.21751877,
277,segmento 277,Cobre,406617229,10.0,0.583905797,61.00032656,
278,segmento 278,Hierro fundido,1358848437,6.0,7.169301742,88.37367465,
279,segmento 279,Cobre,33495379,2.0,3.764763204,48.60332108,
280,segmento 280,Hierro fundido,322660185,3.0,2.49856893,60.85503198,
281,segmento 281,Hierro Galvanizado/Polietileno de alta densidad,833962952,5.0,9.874239868,63.06285105,
282,segmento 282,Hierro Galvanizado/Polietileno de alta densidad,1579173849,10.0,1.155333268,71.70687169,
283,segmento 283,Cloruro de polivinilo,1070900562,2.0,8.164262691,37.83465016,
284,segmento 284,Hierro ductil,883424904,5.0,1.956299411,61.68859465,
285,segmento 285,Plomo,1505644593,10.0,5.303656259,63.11666105,
286,segmento 286,Hierro ductil,463516743,125.0,6.725481564,43.78577279,
287,segmento 287,Hierro fundido,740885488,8.0,6.275677401,77.35953062,
288,segmento 288,Cobre,1043723874,4.0,3.919102984,71.08267019,
289,segmento 289,Hierro ductil,197626074,1.25,0.581953176,40.19168347,
290,segmento 290,Cloruro de polivinilo,1134839631,1.25,9.219444973,37.57603591,
291,segmento 291,Polietileno,1243768352,4.0,5.014156691,47.29525329,
292,segmento 292,Cobre,1395145903,0.25,6.342636911,67.49171722,
293,segmento 293,Cloruro de polivinilo,17137932,8.0,1.537754956,19.2673654,
294,segmento 294,Alta densidad plomo,784254024,0.75,8.257543011,44.8016199,
295,segmento 295,Plomo,556489137,3.0,9.711935594,43.86887011,
296,segmento 296,Polietileno,1318738007,3.0,4.521386702,46.92585257,
297,segmento 297,Plomo,256141242,125.0,8.141260372,24.26031467,
298,segmento 298,Alta densidad plomo,603023249,125.0,6.650894789,34.84674345,
299,segmento 299,Alta densidad plomo,467494046,0.25,0.446667461,27.33808918,
300,segmento 300,Hierro ductil,1281866197,375.0,7.097193794,61.70691798,
301,segmento 301,Hierro fundido,756585347,1.5,6.228676369,68.85070296,
302,segmento 302,Plomo,148432498,375.0,8.710787616,25.35532687,
303,segmento 303,Hierro fundido,1049995538,1.0,0.613729652,66.07350199,
304,segmento 304,Cobre,671164759,10.0,2.431650498,67.73054628,
305,segmento 305,Cobre,27033852,12.0,4.684942556,59.41399745,
306,segmento 306,Hierro fundido,1054336446,5.0,5.928913873,80.27218424,
307,segmento 307,Cobre,236256458,8.0,7.956446654,64.06518739,
308,segmento 308,Hierro fundido,1559695132,125.0,3.322475609,71.93063759,
309,segmento 309,Cloruro de polivinilo,762125934,8.0,0.639273682,32.05670753,
310,segmento 310,Hierro ductil,407373338,6.0,2.995566481,55.2359631,
311,segmento 311,Hierro fundido,1608989999,125.0,8.714647689,78.28358167,
312,segmento 312,Cloruro de polivinilo,565371673,4.0,3.853105763,27.93559769,
313,segmento 313,Cloruro de polivinilo,1587545838,10.0,0.542150071,48.3842742,
314,segmento 314,Alta densidad plomo,1065398770,375.0,1.18109751,40.32265248,
315,segmento 315,Cobre,191318855,6.0,1.292669776,55.25790403,
316,segmento 316,Cloruro de polivinilo,570801713,6.0,6.986986072,33.70096678,
317,segmento 317,Hierro fundido,564662324,5.0,1.129793585,66.42173563,
318,segmento 318,Polietileno,1142803910,10.0,6.949092806,52.39346303,
319,segmento 319,Alta densidad plomo,198724584,8.0,4.336319497,42.5755978,
320,segmento 320,Hierro fundido,1118797431,6.0,9.815699929,86.63337145,
321,segmento 321,Alta densidad plomo,529092889,1.25,4.885115689,39.2038893,
322,segmento 322,Polietileno,474709907,0.25,2.311620958,17.92597563,
323,segmento 323,Hierro ductil,1104623009,8.0,6.151525225,72.49301111,
324,segmento 324,Hierro ductil,1497255022,0.75,0.25785896,61.25850766,
325,segmento 325,Hierro ductil,1107415367,5.0,9.039203944,72.9611969,
326,segmento 326,Cobre,507981029,5.0,6.120969,64.70693322,
327,segmento 327,Alta densidad plomo,1539442440,2.0,4.064692348,59.45085484,
328,segmento 328,Cloruro de polivinilo,93345939,1.5,3.521652254,13.92241639,
329,segmento 329,Hierro ductil,1234294664,0.75,5.869991657,62.09269842,
330,segmento 330,Hierro fundido,554672446,0.25,8.018062188,59.44591485,
331,segmento 331,Cloruro de polivinilo,790692799,6.0,2.676231811,33.3894541,
332,segmento 332,Alta densidad plomo,1352932432,3.0,5.76645798,60.2407498,
333,segmento 333,Hierro Galvanizado/Polietileno de alta densidad,639819893,10.0,2.783559226,56.08115046,
334,segmento 334,Polietileno,68047150,8.0,8.498684149,32.94887882,
335,segmento 335,Hierro ductil,572662962,1.25,2.813118148,49.34058695,
336,segmento 336,Hierro fundido,652095220,1.5,7.294183132,68.00588011,
337,segmento 337,Hierro ductil,244227213,1.0,2.158169875,41.39060192,
338,segmento 338,Cobre,421821900,10.0,6.809334001,67.56818177,
339,segmento 339,Cloruro de polivinilo,454927034,0.25,7.841952249,17.43416719,
340,segmento 340,Hierro fundido,1504591862,1.0,8.000203338,81.89251967,
341,segmento 341,Alta densidad plomo,111594425,3.0,8.545176776,40.22504637,
342,segmento 342,Cobre,1201919091,3.0,6.610910118,75.4601489,
343,segmento 343,Hierro Galvanizado/Polietileno de alta densidad,1389692279,10.0,5.976603213,73.09314774,
344,segmento 344,Cobre,1564594446,0.75,5.46265888,73.46822897,
345,segmento 345,Cobre,122172690,1.25,7.474688426,51.48108773,
346,segmento 346,Polietileno,184295337,125.0,3.930318323,12.97163676,
347,segmento 347,Cobre,1439857625,2.0,7.795112533,78.53090699,
348,segmento 348,Hierro fundido,519685743,1.0,7.133327305,62.90899889,
349,segmento 349,Plomo,206303078,12.0,9.642220373,44.86014153,
350,segmento 350,Plomo,694198,0.75,9.332673064,25.76726692,
351,segmento 351,Polietileno,417575024,10.0,9.557857114,41.69495866,
352,segmento 352,Alta densidad plomo,556253608,1.5,8.485219098,44.58971795,
353,segmento 353,Polietileno,199792452,2.0,2.203792069,21.51259144,
354,segmento 354,Polietileno,672728773,0.25,6.603855408,25.90222112,
355,segmento 355,Polietileno,665620246,2.0,9.781732228,37.73150462,
356,segmento 356,Hierro fundido,441309479,10.0,7.472193885,74.31030975,
357,segmento 357,Plomo,1203201598,2.5,4.786901717,49.53415272,
358,segmento 358,Hierro fundido,517419821,10.0,1.757228828,69.9369365,
359,segmento 359,Alta densidad plomo,526063177,125.0,3.630322526,30.38071901,
360,segmento 360,Hierro ductil,142747771,6.0,5.452366915,52.852334,
361,segmento 361,Plomo,1583699241,1.5,8.612409653,57.89390176,
362,segmento 362,Cloruro de polivinilo,259342568,2.0,1.93913868,16.6258315,
