ubicación,Genero,edad,Nombre_auto,Año_vehiculo,Millas_auto,Precio_auto,Precio_poliza,Tipo_poliza
zona 1 fuera de la ciudad,Femenino,88, Chevrolet Sonic,2013,87395,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,50, Chevrolet Sonic,2019,87395,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,73, Scion iQ,2020,101908,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,46, Hyundai Elantra,2017,103464,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,36, Chevrolet Sonic,2013,87395,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,74, Ford Focus,2018,87047,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,41, Ford Focus,2015,87047,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,62, Nissan Versa,2019,88866,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,82, MAZDA MAZDA,2022,89513,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,32, Volkswagen Jetta,2019,101840,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,82, Ford Fiesta,2011,99415,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,20, Volkswagen Jetta,2013,101840,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,52, Nissan Rogue,2013,100745,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,70, MAZDA MAZDA,2019,89513,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,69, Nissan Versa,2014,88866,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,61, Nissan Rogue,2012,100745,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,23, Nissan Versa,2016,104267,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,86, Hyundai Accent,2015,97313,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,60, Nissan Versa,2011,104267,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,19, Kia Forte,2010,105419,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,86, Hyundai Accent,2017,97313,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,50, MINI Hardtop,2018,60192,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,57, MAZDA MAZDA,2018,90546,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,66, Chevrolet Impala,2015,92744,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,56, Chevrolet Impala,2022,92744,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,36, Ford Fiesta,2011,84714,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,30, Kia Forte,2018,78304,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,67, Chevrolet Sonic,2014,92040,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,41, Chevrolet Impala,2017,70399,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,90, Kia Forte,2017,78304,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,56, Volkswagen Jetta,2010,99223,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,76, Chevrolet Sonic,2013,92040,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,45, Volkswagen Jetta,2014,99223,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,62, Hyundai Accent,2010,101099,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,18, Ford Fiesta,2014,84714,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,55, MAZDA MAZDA,2020,97578,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,23, Volkswagen Jetta,2016,99223,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,42, Ford Focus,2013,93906,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,32, Scion xD,2013,93216,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,58, Scion xD,2010,93216,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,62, Chevrolet Impala,2015,70399,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,81, Ford Focus,2019,92931,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,28, Ford Focus,2020,82855,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,49, Ford Focus,2022,79101,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,87, Ford Focus,2018,79101,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,49, Hyundai Elantra,2017,101669,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,38, Scion xD,2011,93216,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,41, Chevrolet Spark,2014,101536,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,49, Chevrolet Spark,2021,101536,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,43, Nissan Altima,2016,84117,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,34, Kia Forte,2021,90594,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,68, Ford Fiesta,2012,98161,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,77, Ford Fiesta,2015,98161,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,45, FIAT ,2021,83366,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,54, Chevrolet Sonic,2018,97082,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,27, Chevrolet Sonic,2012,97082,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,34, Nissan Altima,2012,84117,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,39, Subaru Legacy,2016,94095,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,61, Kia Forte,2011,90594,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,76, Hyundai Sonata,2013,80261,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,48, Ford Focus,2020,80488,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,86, Hyundai Sonata,2013,81009,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,49, Chrysler ,2010,71322,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,78, Ford Focus,2016,80488,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,50, Ford Focus,2015,104499,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,78, Ford Focus,2020,100951,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,82, Kia Soul,2018,84791,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,74, Chevrolet Sonic,2016,89452,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,20, Dodge Avenger,2011,104129,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,60, Hyundai Elantra,2010,101695,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,21, Chrysler ,2022,71322,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,29, Ford Focus,2019,80488,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,26, Hyundai Accent,2013,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,54, Hyundai Elantra,2022,92167,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,63, Chrysler ,2010,71322,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,39, Nissan Altima,2015,80086,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,58, Hyundai Elantra,2011,92167,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,79, Hyundai Accent,2016,97500,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,89, Dodge Avenger,2018,104129,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,30, Ford Focus,2015,100951,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,78, Hyundai Elantra,2013,101695,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,81, Ford Focus,2012,104499,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,39, Hyundai Elantra,2022,101695,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,86, Ford Focus,2015,100951,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,73, Ford Focus,2013,100951,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,76, Dodge Avenger,2010,104129,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,36, Nissan Altima,2018,80086,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,66, Ford Focus,2017,80488,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,27, Chevrolet Sonic,2018,89452,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,38, Nissan Altima,2017,80086,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,89, Chrysler ,2018,80057,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,63, Ford Focus,2016,80488,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,60, Hyundai Elantra,2022,101695,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,23, Ford Focus,2022,80488,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,18, Dodge Avenger,2022,104129,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,90, Chrysler ,2020,71322,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,59, Ford Focus,2013,80488,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,32, Kia Soul,2011,84791,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,70, Ford Focus,2012,104499,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,19, Chrysler ,2015,80057,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,44, Hyundai Accent,2016,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,35, Hyundai Accent,2019,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,50, Hyundai Accent,2019,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,26, Hyundai Accent,2011,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,29, Hyundai Accent,2017,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,55, Hyundai Accent,2022,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,18, Hyundai Accent,2021,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,90, Hyundai Accent,2021,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,30, Hyundai Accent,2016,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,41, Hyundai Accent,2018,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,59, Kia Soul,2014,84791,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,80, Hyundai Accent,2011,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,35, Hyundai Sonata,2020,81009,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,21, Hyundai Accent,2019,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,37, Hyundai Accent,2013,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,61, Hyundai Accent,2022,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,86, Chrysler ,2012,80057,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Femenino,46, Hyundai Elantra,2018,101695,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,44, Nissan Altima,2010,80086,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,83, Hyundai Accent,2010,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,43, Hyundai Accent,2022,98373,12590.00,859.90,contra terceros
zona 1 fuera de la ciudad,Masculino,42, MAZDA MAZDA,2021,100316,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,67, Ford Fiesta,2010,83381,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,24, MAZDA MAZDA,2010,86312,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,27, Dodge Avenger,2015,103547,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,31, Hyundai Elantra,2022,93759,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,76, MAZDA MAZDA,2011,87323,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,83, MAZDA MAZDA,2015,87323,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,61, MAZDA MAZDA,2012,86312,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,61, MINI Clubman,2011,104307,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,46, Chevrolet Sonic,2011,100331,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,52, Nissan Versa,2014,56534,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,48, Chevrolet Cruze,2022,99782,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,23, Kia Soul,2010,64180,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,59, Kia Soul,2011,96498,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,47, Scion xD,2014,78516,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,28, Ford Fiesta,2020,45314,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,22, Nissan Versa,2015,70935,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,80, Ford Fiesta,2020,45314,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,28, MAZDA MAZDA,2021,86312,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,69, Toyota Yaris,2022,101575,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,33, Volkswagen Passat,2021,102321,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,88, FIAT ,2012,52054,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,36, Honda Fit,2018,104716,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,27, Chrysler ,2022,97670,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,87, Ford Fiesta,2016,53286,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,66, Kia Soul,2014,83655,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,48, FIAT ,2012,52054,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,78, Dodge Avenger,2019,103547,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,76, Honda Fit,2013,100884,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,46, Nissan Sentra,2017,91054,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,42, MAZDA MAZDA,2010,86312,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,19, Ford Focus,2016,85766,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,35, FIAT ,2013,62622,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,23, Kia Optima,2020,70381,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,89, Ford Focus,2012,67829,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,31, Mitsubishi Outlander Sport,2017,96119,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,43, smart fortwo electric drive,2019,31625,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,76, FIAT ,2022,62622,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,67, Toyota Corolla,2012,103693,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,86, Hyundai Elantra,2022,92069,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,36, Nissan Versa,2010,100729,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,51, Nissan Versa,2018,100729,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,24, Nissan Versa,2017,100729,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,66, Volkswagen Jetta,2011,95161,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,18, Chevrolet Cruze,2021,91898,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,86, Volkswagen Jetta,2022,102845,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,88, Hyundai Accent,2015,93154,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,60, Volkswagen Jetta,2020,102845,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,64, Nissan Sentra,2017,103535,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,29, Chevrolet Spark,2018,100035,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,71, Kia Forte,2014,80914,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,39, Volkswagen Jetta,2022,103950,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,25, Mitsubishi Mirage G,2022,62056,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,19, smart fortwo electric drive,2014,15626,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,52, Chevrolet Sonic,2013,82108,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,31, Honda Accord,2022,95434,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,41, Chevrolet Spark,2013,100035,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,25, Kia Forte,2022,65078,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,50, Dodge Dart,2021,98124,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,55, MAZDA MAZDA,2010,66896,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,47, Chevrolet Cruze,2016,90493,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,82, smart fortwo,2020,27966,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,20, Ford Fiesta,2010,88707,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,23, Hyundai Accent,2017,81742,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,51, Hyundai Elantra,2015,98022,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,56, Toyota Corolla,2015,95498,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,62, Hyundai Elantra,2018,98572,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,58, Toyota Corolla,2017,95498,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,49, Chrysler ,2013,69767,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,70, Chevrolet Sonic,2010,80682,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,75, Kia Forte,2019,80914,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,71, Scion iQ,2018,74567,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,77, Dodge Dart,2021,98124,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,21, Ford Focus,2020,74234,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,61, Nissan Versa,2013,98166,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,83, Hyundai Sonata,2012,89244,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,35, Chevrolet Cruze,2017,87434,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,74, Hyundai Elantra,2017,98022,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,56, Nissan Sentra,2014,60629,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,86, Hyundai Elantra,2010,98022,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,66, Hyundai Sonata,2015,101931,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,55, FIAT ,2012,54147,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,36, Chevrolet Sonic,2013,80682,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,34, Hyundai Accent,2012,80587,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,80, Chevrolet Sonic,2018,95196,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,47, Hyundai Accent,2013,80587,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,68, MAZDA MAZDA,2014,89153,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,81, Chevrolet Sonic,2021,84526,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,64, Kia Rio,2016,86363,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,18, Chevrolet Sonic,2017,76090,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,79, Chrysler ,2017,69767,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,19, Chevrolet Sonic,2015,80682,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,54, Chevrolet Cruze,2016,87434,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Femenino,50, Ford Focus,2013,82611,12990.00,887.22,contra terceros
zona 1 fuera de la ciudad,Masculino,44, Chevrolet Cruze,2018,87434,12990.00,887.22,contra terceros
